Data,Casos Confirmats,PCR+TAR,PCR,TAR,EXITUS,Ingressos Hospital dia, INGRESSOS UCI dia,UCI ingressats,Hospitals ingressats,Positivitat,Positius last 7,IA 7,IA 14,RT Proves,RT casos,RT Hospi,Rt UCI,Ingressos UCI 7 dies,Ingressos Hosp 7 dies,Casos/UCI (6 dies),Casos confirmats últims 7 dies,Proves últims 7 dies,Ràtio Hospitalitzats/UCI
01/03/2020,2,22,22,0,0,0,0,0,0,,,,,,,,,,,,,,
02/03/2020,5,35,35,0,0,0,0,0,0,,,,,,,,,,,,,,
03/03/2020,9,25,25,0,0,0,0,0,0,"36,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
04/03/2020,7,29,29,0,0,0,0,0,0,"24,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
05/03/2020,18,37,37,0,0,0,0,0,0,"48,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
06/03/2020,13,57,57,0,0,0,0,0,0,"22,81","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
07/03/2020,13,83,83,0,2,0,0,0,0,"15,66","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
08/03/2020,7,53,53,0,5,0,0,0,0,"13,21","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
09/03/2020,93,109,109,0,5,0,0,0,0,"85,32","40,71","2,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
10/03/2020,163,335,335,0,6,0,0,0,0,"48,66","44,67","4,09","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
11/03/2020,207,504,504,0,10,0,0,0,0,"41,07","43,63","6,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
12/03/2020,361,1008,1005,3,18,0,0,0,0,"35,81","39,88","11,17","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
13/03/2020,555,1952,1952,0,30,0,0,0,0,"28,43","34,59","18,24","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
14/03/2020,359,1733,1733,0,45,0,0,0,0,"20,72","30,65","22,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1745,5694,"0,00"
